,idcliente,genero,aposentado,casado,dependentes,mesescomocliente,servicotelefone,multiplaslinhas,servicointernet,servicosegurancaonline,servicobackuponline,protecaoequipamento,servicosuportetecnico,servicostreamingtv,servicofilmes,tipocontrato,faturadigital,formapagamento,valormensal,totalgasto,churn
3721,9824-QCJPK,Masculino,0,Sim,Nao,36,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.0,666.75,Nao
3722,7317-GGVPB,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,108.6,7690.9,Sim
3723,7932-WPTDS,Feminino,1,Sim,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,24.8,24.8,Sim
3724,7112-OPOTK,Masculino,0,Nao,Nao,33,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,68.25,2171.15,Sim
3725,7688-AWMDX,Masculino,0,Sim,Nao,71,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,2 anos,Nao,DebitoAutomatico,54.5,3778.2,Nao
3726,8474-UMLNT,Feminino,0,Nao,Nao,13,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Sim,Mensal,Nao,DebitoAutomatico,67.8,842.25,Nao
3727,1627-AFWVJ,Feminino,0,Nao,Nao,29,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.4,554.25,Nao
3728,4931-TRZWN,Feminino,0,Nao,Nao,13,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,71.95,923.85,Nao
3729,7771-ZONAT,Masculino,0,Nao,Nao,22,Nao,SemTelefone,DSL,Nao,Nao,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,56.75,1304.85,Nao
3730,6861-XWTWQ,Masculino,1,Sim,Nao,7,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,99.25,665.45,Sim
3731,1171-TYKUR,Masculino,0,Sim,Nao,47,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoEletronico,25.4,1139.2,Nao
3732,0142-GVYSN,Masculino,0,Nao,Nao,26,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoEletronico,20.3,511.25,Nao
3733,2931-FSOHN,Masculino,1,Nao,Nao,13,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,59.9,788.35,Nao
3734,9526-JAWYF,Masculino,0,Nao,Nao,26,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,89.8,2335.3,Sim
3735,2410-CIYFZ,Masculino,0,Nao,Sim,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.4,42.9,Nao
3736,5261-QSHQM,Feminino,0,Nao,Nao,4,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,24.45,86.6,Sim
3737,9541-PWTWO,Feminino,0,Nao,Nao,52,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,80.95,4233.95,Nao
3738,1389-CXMLU,Masculino,1,Nao,Nao,3,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,91.05,289.1,Sim
3739,8920-NAVAY,Masculino,1,Nao,Nao,62,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Sim,DebitoAutomatico,110.75,7053.35,Nao
3740,2225-ZRGSG,Feminino,0,Sim,Sim,70,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,DebitoAutomatico,93.9,6579.05,Sim
3741,5678-VFNEQ,Feminino,0,Sim,Nao,71,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Sim,CartaoCredito,104.1,7412.25,Nao
3742,4115-UMJFQ,Masculino,0,Nao,Nao,69,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Anual,Sim,DebitoAutomatico,35.75,2492.25,Nao
3743,3506-OVLKD,Masculino,0,Nao,Nao,35,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,26.2,954.9,Nao
3744,2019-HDCZY,Masculino,0,Sim,Nao,63,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,2 anos,Nao,BoletoEletronico,102.6,6296.75,Nao
3745,6048-UWKAL,Feminino,1,Sim,Nao,69,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,105.4,6998.95,Nao
3746,6234-RAAPL,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Nao,Sim,Sim,Nao,2 anos,Nao,DebitoAutomatico,99.9,7251.7,Nao
3747,1910-FMXJM,Feminino,0,Sim,Nao,36,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,BoletoEletronico,80.4,2937.65,Nao
3748,2616-UUTFK,Masculino,0,Sim,Nao,33,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,72.75,2447.45,Nao
3749,8751-EDEKA,Feminino,0,Sim,Nao,28,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Nao,CartaoCredito,89.9,2433.5,Nao
3750,3721-WKIIL,Feminino,0,Nao,Nao,27,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,19.6,561.15,Nao
3751,8985-OOPOS,Feminino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Sim,Sim,Anual,Nao,CartaoCredito,74.1,74.1,Nao
3752,3511-BFTJW,Masculino,0,Sim,Sim,72,Nao,SemTelefone,DSL,Sim,Sim,Sim,Nao,Nao,Nao,2 anos,Nao,CartaoCredito,38.5,2763.0,Nao
3753,3134-DSHVC,Feminino,0,Nao,Nao,63,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,2 anos,Nao,CartaoCredito,98.0,6218.45,Nao
3754,0603-OLQDC,Masculino,0,Nao,Sim,12,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoImpresso,69.85,837.5,Nao
3755,8612-GXIDD,Masculino,0,Sim,Sim,12,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,25.4,313.0,Nao
3756,0907-HQNTS,Feminino,1,Sim,Nao,70,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,113.0,7987.6,Nao
3757,7754-IXRMC,Feminino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,45.35,45.35,Nao
3758,5626-MGTUK,Feminino,0,Nao,Nao,20,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,89.1,1879.25,Nao
3759,4836-WNFNO,Feminino,0,Sim,Nao,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,25.0,1849.2,Nao
3760,6034-YMTOB,Feminino,0,Nao,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,75.65,399.45,Nao
3761,1696-MZVAU,Masculino,0,Sim,Sim,39,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Anual,Sim,CartaoCredito,25.25,947.75,Nao
3762,6907-FLBER,Masculino,0,Nao,Nao,1,Sim,Sim,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,54.3,54.3,Nao
3763,6586-PSJOX,Masculino,0,Nao,Sim,15,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Anual,Nao,CartaoCredito,55.2,864.55,Nao
3764,5296-PSYVW,Feminino,0,Sim,Nao,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoEletronico,24.55,1750.7,Nao
3765,6122-EFVKN,Masculino,0,Nao,Sim,24,Nao,SemTelefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,2 anos,Nao,BoletoImpresso,35.75,830.8,Nao
3766,4097-YODCF,Masculino,0,Nao,Sim,34,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,103.8,3470.8,Nao
3767,0872-NXJYS,Feminino,0,Nao,Nao,9,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.55,723.4,Sim
3768,3146-MSEGF,Feminino,1,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,88.05,6425.65,Nao
3769,1045-LTCYT,Feminino,0,Sim,Sim,8,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,CartaoCredito,21.05,139.75,Nao
3770,0661-KQHNK,Feminino,0,Sim,Sim,6,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,CartaoCredito,19.0,105.5,Nao
3771,6711-VTNRE,Feminino,0,Nao,Nao,36,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,87.55,3078.1,Sim
3772,4312-KFRXN,Masculino,0,Sim,Nao,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.4,1710.9,Nao
3773,0587-DMGBH,Feminino,0,Nao,Nao,8,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,49.85,365.55,Sim
3774,6725-TPKJO,Masculino,0,Nao,Nao,44,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.05,845.25,Nao
3775,8630-FJLIB,Feminino,0,Nao,Nao,18,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.8,1221.65,Nao
3776,0089-IIQKO,Feminino,0,Sim,Sim,39,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,CartaoCredito,99.95,3767.4,Nao
3777,4742-DRORA,Masculino,0,Sim,Sim,60,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Nao,Anual,Sim,DebitoAutomatico,95.4,5812.0,Nao
3778,8779-QRDMV,Masculino,1,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,39.65,39.65,Sim
3779,7047-YXDMZ,Masculino,0,Nao,Nao,21,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.0,417.7,Nao
3780,6901-GOGZG,Masculino,0,Nao,Sim,60,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,84.95,4984.85,Nao
3781,0654-PQKDW,Feminino,0,Sim,Sim,62,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Nao,Anual,Sim,DebitoAutomatico,70.75,4263.45,Nao
3782,1226-JZNKR,Feminino,0,Sim,Sim,8,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoEletronico,19.8,160.05,Nao
3783,5666-MBJPT,Masculino,0,Nao,Nao,65,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,25.1,1725.0,Nao
3784,9867-JCZSP,Feminino,0,Sim,Sim,17,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.75,418.25,Nao
3785,1699-UOTXU,Masculino,0,Nao,Nao,60,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,2 anos,Nao,BoletoEletronico,61.4,3638.25,Nao
3786,4946-EDSEW,Feminino,0,Sim,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.25,180.3,Sim
3787,1796-JANOW,Feminino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.95,38.15,Nao
3788,5519-YLDGW,Feminino,0,Sim,Nao,21,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,103.9,2254.2,Sim
3789,3086-RUCRN,Feminino,0,Nao,Nao,66,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Nao,Sim,Mensal,Sim,DebitoAutomatico,103.1,6595.0,Nao
3790,7469-LKBCI,Masculino,0,Nao,Nao,16,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,18.95,326.8,Nao
3791,3569-VLDHH,Masculino,0,Sim,Sim,66,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Nao,Anual,Sim,BoletoEletronico,75.1,5013.0,Nao
3792,2933-XEUJM,Feminino,0,Nao,Nao,46,Sim,Sim,DSL,Sim,Nao,Sim,Nao,Sim,Sim,2 anos,Nao,BoletoImpresso,79.2,3593.8,Nao
3793,5504-WSIUR,Feminino,0,Nao,Nao,70,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Nao,Nao,Anual,Sim,DebitoAutomatico,90.25,6385.95,Nao
3794,6585-WCEWR,Masculino,0,Sim,Sim,72,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoEletronico,20.35,1354.4,Nao
3795,4146-SVFUD,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,44.6,44.6,Nao
3796,5701-SVCWR,Feminino,0,Nao,Sim,1,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,24.0,24.0,Nao
3797,4822-RVYBB,Masculino,1,Nao,Nao,8,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,100.6,819.4,Sim
3798,8805-JNRAZ,Feminino,0,Nao,Nao,2,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,49.2,103.7,Nao
3799,3308-MHOOC,Masculino,0,Nao,Sim,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.2,19.2,Nao
3800,4378-BZYFP,Masculino,0,Nao,Nao,17,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,20.5,365.8,Nao
3801,9830-ECLEN,Masculino,0,Sim,Sim,58,Nao,SemTelefone,DSL,Sim,Sim,Sim,Nao,Sim,Nao,Anual,Nao,BoletoImpresso,50.0,2919.85,Nao
3802,1498-NHTLT,Masculino,0,Sim,Sim,59,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,86.75,5186.0,Nao
3803,1513-XNPPH,Feminino,0,Nao,Nao,12,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,89.4,1095.65,Sim
3804,4398-HSCJH,Feminino,0,Nao,Nao,3,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoEletronico,63.6,155.65,Sim
3805,7595-EHCDL,Masculino,0,Sim,Sim,32,Nao,SemTelefone,DSL,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Nao,CartaoCredito,50.6,1653.45,Nao
3806,5215-LNLDJ,Feminino,0,Sim,Sim,7,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,24.7,149.05,Nao
3807,7677-SJJJK,Masculino,0,Sim,Sim,8,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,CartaoCredito,19.9,153.95,Nao
3808,9992-RRAMN,Masculino,0,Sim,Nao,22,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,85.1,1873.7,Sim
3809,6242-FEGFD,Masculino,0,Sim,Nao,66,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,BoletoImpresso,96.6,6424.25,Nao
3810,3956-CJUST,Feminino,1,Nao,Nao,23,Sim,Nao,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,75.4,1643.55,Nao
3811,4844-JJWUY,Feminino,1,Nao,Nao,1,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,86.0,86.0,Sim
3812,3703-TTEPD,Masculino,0,Nao,Nao,21,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Sim,Nao,Mensal,Nao,DebitoAutomatico,65.35,1424.4,Nao
3813,4282-YMKNA,Feminino,0,Nao,Nao,9,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,74.75,706.6,Sim
3814,6103-QCKFX,Feminino,0,Sim,Sim,44,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,DebitoAutomatico,56.25,2419.55,Nao
3815,4631-OACRM,Masculino,1,Nao,Nao,15,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.4,1156.1,Sim
3816,3470-OBUET,Feminino,0,Sim,Sim,67,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,2 anos,Nao,CartaoCredito,74.0,4868.4,Nao
3817,2929-QNSRW,Feminino,0,Sim,Nao,56,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,98.25,5508.35,Sim
3818,7853-OETYL,Feminino,0,Sim,Nao,4,Nao,SemTelefone,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,29.05,129.6,Nao
3819,5318-YKDPV,Masculino,0,Sim,Sim,43,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,79.15,3566.6,Nao
3820,4238-HFHSN,Masculino,1,Sim,Nao,61,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,82.15,4904.85,Nao
3821,9209-NWPGU,Masculino,0,Nao,Nao,44,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Anual,Nao,BoletoEletronico,65.4,2774.55,Nao
3822,5022-JNQEQ,Feminino,0,Sim,Sim,9,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,75.85,647.5,Nao
3823,6007-TCTST,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,115.8,8476.5,Nao
3824,8357-EQXFO,Feminino,0,Nao,Nao,7,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,95.35,660.9,Sim
3825,3589-PPVKW,Masculino,0,Nao,Nao,9,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,44.4,348.15,Nao
3826,1574-DYCWE,Feminino,0,Sim,Sim,51,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.95,1028.75,Nao
3827,4999-IEZLT,Masculino,0,Nao,Nao,66,Nao,SemTelefone,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Anual,Nao,CartaoCredito,29.45,1983.15,Nao
3828,4403-BWPAY,Masculino,0,Nao,Nao,14,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,CartaoCredito,24.8,321.7,Nao
3829,1494-EJZDW,Feminino,0,Sim,Sim,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.15,220.8,Nao
3830,9766-HGEDE,Feminino,0,Sim,Nao,17,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,19.35,307.0,Nao
3831,4724-WXVWF,Masculino,0,Nao,Nao,48,Sim,Sim,Fibra,Sim,Nao,Nao,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,95.4,4445.3,Nao
3832,5469-NUJUR,Masculino,0,Nao,Nao,19,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,19.95,373.5,Nao
3833,1724-IQWNM,Masculino,0,Nao,Sim,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.3,19.3,Nao
3834,8043-PNYSD,Masculino,0,Sim,Sim,63,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.55,1245.6,Nao
3835,6734-FQAJX,Masculino,1,Nao,Nao,67,Sim,Nao,Fibra,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,105.05,7171.7,Nao
3836,9786-YWNHU,Feminino,0,Sim,Sim,63,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,BoletoImpresso,63.55,4014.2,Nao
3837,8760-ZRHKE,Feminino,1,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Sim,Nao,Anual,Nao,BoletoEletronico,69.2,4982.5,Nao
3838,2703-AMTUL,Masculino,0,Sim,Sim,36,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Anual,Nao,BoletoImpresso,53.65,1939.35,Nao
3839,4583-PARNH,Masculino,1,Sim,Nao,16,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,91.55,1540.05,Nao
3840,6942-LBFDP,Feminino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,20.55,33.6,Nao
3841,7203-OYKCT,Masculino,0,Nao,Nao,72,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,104.95,7544.3,Nao
3842,9143-CANJF,Feminino,0,Sim,Sim,24,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,BoletoEletronico,55.15,1319.85,Nao
3843,1723-HKXJQ,Masculino,0,Nao,Nao,42,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,101.75,4273.45,Sim
3844,6619-RPLQZ,Feminino,0,Sim,Sim,45,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.85,892.15,Nao
3845,4791-QRGMF,Masculino,0,Sim,Nao,59,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,99.5,5961.1,Sim
3846,6728-VOIFY,Feminino,0,Sim,Nao,63,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,96.0,6109.75,Nao
3847,2081-KJSQF,Masculino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,20.25,20.25,Nao
3848,3397-AVTKU,Masculino,0,Nao,Nao,43,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Sim,2 anos,Sim,BoletoEletronico,60.0,2548.55,Nao
3849,6365-HITVU,Feminino,0,Sim,Sim,71,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,87.25,6328.7,Nao
3850,2604-XVDAM,Feminino,0,Nao,Nao,12,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,43.8,540.95,Nao
3851,0487-VVUVK,Masculino,0,Sim,Sim,25,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.15,477.6,Nao
3852,6656-GULJQ,Masculino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,83.55,6093.3,Nao
3853,6599-SFQVE,Feminino,0,Nao,Nao,6,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.0,340.4,Nao
3854,6754-WKSHP,Masculino,0,Nao,Sim,30,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,25.35,723.3,Nao
3855,6199-IWKGC,Feminino,1,Sim,Nao,46,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Anual,Nao,BoletoEletronico,100.25,4753.85,Nao
3856,6221-AVQYL,Masculino,0,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,73.25,131.05,Sim
3857,5630-IXDXV,Feminino,0,Nao,Nao,47,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,106.35,4849.1,Nao
3858,7340-KEFQE,Feminino,0,Sim,Sim,51,Nao,SemTelefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,2 anos,Nao,DebitoAutomatico,34.2,1782.0,Nao
3859,5542-NKVRU,Feminino,0,Nao,Nao,42,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,20.75,844.45,Nao
